region,city,district,median_ppsqm,count,mean_ppsqm,std_ppsqm,ltype
المنطقة الشرقية,الدمام,الجلوية,3084.2391304347825,20,3569.2716507378746,1402.4176119447511,sale
المنطقة الشرقية,الدمام,الجوهرة,3700.0,103,6239.233903222276,18238.282307053432,sale
المنطقة الشرقية,الدمام,الحسام,4285.714285714285,41,4519.291071058618,1578.9691479424328,sale
المنطقة الشرقية,الدمام,الحمراء,3516.304347826087,10,3717.212716187064,1364.6028494943466,sale
المنطقة الشرقية,الدمام,الخالدية الجنوبية,7186.858316221766,9,6252.098328439433,2751.6345427476394,sale
المنطقة الشرقية,الدمام,الخالدية الشمالية,4500.0,3,4098.5561833019465,695.3210869053966,sale
المنطقة الشرقية,الدمام,الخليج,4461.538461538462,19,4423.192216018801,2178.0103308161633,sale
المنطقة الشرقية,الدمام,الدانة,3644.927536231884,20,7744.930105130987,15432.28359646824,sale
المنطقة الشرقية,الدمام,الدواسر,14428.627656782997,4,13704.109746758844,8293.48008497329,sale
المنطقة الشرقية,الدمام,الراكة الشمالية,3451.776649746193,245,5914.885724534511,17229.63112359143,sale
المنطقة الشرقية,الدمام,الربيع,6769.2307692307695,3,7487.179487179487,4504.654616614924,sale
المنطقة الشرقية,الدمام,الروضة,3103.8993710691825,15,3392.1982734168555,1298.0220748475103,sale
المنطقة الشرقية,الدمام,الريان,4997.802197802198,10,14614.94378215161,31212.611046830774,sale
المنطقة الشرقية,الدمام,الزهور,3371.4285714285716,92,11662.013328307814,26490.975780362114,sale
المنطقة الشرقية,الدمام,السلام,3397.0588235294117,10,3273.6251468035207,993.8762964756976,sale
المنطقة الشرقية,الدمام,السيف,2451.7113402061855,312,3991.5113011571193,8165.629522676306,sale
المنطقة الشرقية,الدمام,الشاطئ الشرقي,4232.804232804233,42,13665.934223906856,36289.19884268499,sale
المنطقة الشرقية,الدمام,الشاطئ الغربي,4968.815844922039,58,10423.69426179451,28302.385460731726,sale
المنطقة الشرقية,الدمام,الشعلة,2793.939393939394,566,5124.5924147976375,15242.971730029863,sale
المنطقة الشرقية,الدمام,الصفا,3602.8617710583153,12,3512.3251808657465,899.528984457175,sale
المنطقة الشرقية,الدمام,الصناعية,3770.4918032786886,61,5386.545093614972,10832.725942047666,sale
المنطقة الشرقية,الدمام,الضباب,3125.0,23,2823.6471744519104,1200.2506929858253,sale
المنطقة الشرقية,الدمام,الطبيشي,1801.171003717472,5,2528.0808824369387,996.2967880400213,sale
المنطقة الشرقية,الدمام,العدامة,6334.853915499077,16,5972.031085642533,2777.3964342604813,sale
المنطقة الشرقية,الدمام,العروبة,3751.395909251205,98,13060.531687618259,34778.50683594893,sale
المنطقة الشرقية,الدمام,العزيزية,3800.0,12,5724.308060292974,6364.159749086514,sale
المنطقة الشرقية,الدمام,العنود,3549.957782155924,8,4360.024870640195,2217.507903712093,sale
المنطقة الشرقية,الدمام,الفردوس,3459.119496855346,91,8318.89616666263,23111.26191436426,sale
المنطقة الشرقية,الدمام,الفرسان,2544.0397454784816,66,4429.218566576911,13662.435616504086,sale
المنطقة الشرقية,الدمام,الفيحاء,2857.1428571428573,34,8595.82520706991,22632.675582295604,sale
المنطقة الشرقية,الدمام,الفيصلية,4250.0,35,4186.395063543579,1568.3483814996637,sale
المنطقة الشرقية,الدمام,القادسية,3022.727272727273,38,6246.334533409596,18645.605656744396,sale
المنطقة الشرقية,الدمام,القزاز,7657.657657657658,7,6934.929353352461,2467.431538070944,sale
المنطقة الشرقية,الدمام,المحمدية,3571.4285714285716,9,4638.391841968166,3042.227617882077,sale
المنطقة الشرقية,الدمام,المريكبات,2623.529411764706,12,3396.923243103947,1924.149988553175,sale
المنطقة الشرقية,الدمام,المزروعية,3899.7517070142767,26,3572.650165871163,1107.4083483989941,sale
المنطقة الشرقية,الدمام,المطار,1500.8152173913045,28,6483.410052067309,24465.980543561484,sale
المنطقة الشرقية,الدمام,المنار,3403.1413612565443,89,17706.729430318854,40850.15809263002,sale
المنطقة الشرقية,الدمام,المنتزه,4635.761589403974,81,4792.238650592912,1657.1593656822024,sale
المنطقة الشرقية,الدمام,الناصرية,1957.3144573144573,8,2040.0751614471628,897.450570960107,sale
المنطقة الشرقية,الدمام,النخيل,2525.0498189676946,8,2526.2717183287814,690.8219313661587,sale
المنطقة الشرقية,الدمام,الندى,3565.217391304348,101,9045.403378945537,23161.603927209057,sale
المنطقة الشرقية,الدمام,النزهة,3315.217391304348,20,3845.630682306387,1980.281567353075,sale
المنطقة الشرقية,الدمام,النهضة,5360.012857602057,36,5369.123928101553,2561.699534339062,sale
المنطقة الشرقية,الدمام,النور,2980.1324503311257,210,7038.182687131704,20467.04411876071,sale
المنطقة الشرقية,الدمام,النورس,3666.6666666666665,17,3676.6530600970536,1313.202443010439,sale
المنطقة الشرقية,الدمام,الواحة,3104.054054054054,108,10304.09742097529,26928.53350197853,sale
المنطقة الشرقية,الدمام,بدر,2934.782608695652,101,4365.68205709881,11727.767413116842,sale
المنطقة الشرقية,الدمام,ضاحية الملك فهد,3507.2,297,17125.410170594987,38767.9698120383,sale
المنطقة الشرقية,الدمام,طيبة,3900.0,194,19069.31531304483,40903.94433417598,sale
المنطقة الشرقية,الدمام,غرناطة,2242.6470588235297,18,2407.2273576097105,1249.0941134679615,sale
المنطقة الشرقية,الدمام,قصر الخليج,4588.235294117647,141,4802.059104419208,2409.08765013731,sale
المنطقة الشرقية,الدمام,مدينة العمال,2083.339285714286,23,7372.833191550171,21696.178616658322,sale
المنطقة الشرقية,العيون,الرابية,86666.66666666667,20,67382.33232207946,57618.78025883614,sale
المنطقة الشرقية,القطيف,الخزامى,3300.0,9,15868.960040209478,37667.0014684189,sale
المنطقة الشرقية,القطيف,الزهراء,4927.536231884058,17,5640.465187987566,4394.629657354342,sale
المنطقة الشرقية,القطيف,المدارس,3745.9349593495936,36,6795.563710340339,19248.015094794147,sale
المنطقة الشرقية,القطيف,باب الشمال,4704.301075268817,15,4300.477968486976,1532.1947195900962,sale
المنطقة الشرقية,القيصومة,الشفاء,1136.3636363636363,5,987.3331923890062,326.9267698445352,sale
المنطقة الشرقية,النعيرية,الخليج,645.0,18,1165.8105077900295,1223.3619024408488,sale
المنطقة الشرقية,النعيرية,الربيع,668.6426116838488,20,766.7758695735548,460.1380044624494,sale
المنطقة الشرقية,النعيرية,الفيصلية,600.0,7,1424.7556723061646,1422.0086348379741,sale
المنطقة الشرقية,النعيرية,المحمدية,1792.1146953405018,3,1387.3715651135008,814.3020023919034,sale
المنطقة الشرقية,بقيق,المطار,550.0,73,917.5117430391296,964.446519408205,sale
المنطقة الشرقية,حفر الباطن,التلال,849.4382022471909,8,826.6095505617977,179.64568219411774,sale
المنطقة الشرقية,حفر الباطن,الخالدية,2373.887240356083,5,2034.1774480712168,1464.3394567788735,sale
المنطقة الشرقية,حفر الباطن,الروضة,1304.3478260869565,3,1019.7826086956521,555.193004469365,sale
المنطقة الشرقية,حفر الباطن,الريان,2223.863636363636,14,17461.58008658009,39629.74659431113,sale
المنطقة الشرقية,حفر الباطن,السليمانية,1578.9473684210527,9,19052.866110768024,52858.88504422959,sale
المنطقة الشرقية,حفر الباطن,الشفاء,466.6666666666667,5,507.4414832925835,143.0697067405346,sale
