city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
جدة,الفردوس,3805.9006211180126,61,6312.998261256925,sale
جدة,الفرقان,1018.262987012987,22,5280.186316672701,sale
جدة,الفروسية,3997.7678571428573,99,23310.152265000066,sale
جدة,الفضيلة,4875.0,67,19564.462067815133,sale
جدة,الفلاح,3791.666666666667,104,8771.332875749742,sale
جدة,الفنار,2066.0,87,3161.702459734221,sale
جدة,الفيحاء,4142.857142857143,231,26664.56058715094,sale
جدة,الفيصلية,3198.529411764706,454,14621.160710972974,sale
جدة,القرينية,3111.1111111111113,82,10359.111722094529,sale
جدة,الكوثر,3590.821000704722,58,18071.65301143144,sale
جدة,اللؤلؤ,7000.0,101,7633.282692281641,sale
جدة,المحجر,2300.0,3,2516.314484126984,sale
جدة,المحمدية,7938.888888888889,108,8864.151882305807,sale
جدة,المرجان,6584.761189610359,52,9793.019373606214,sale
جدة,المروة,4223.60248447205,846,14265.5711881371,sale
جدة,المروج,1667.0,41,4949.816574854602,sale
جدة,المسرة,589.6056729699667,16,824.1766539371639,sale
جدة,المليساء,505.61519792058124,16,572.9776248088959,sale
جدة,المنار,4222.190852625636,340,20470.869772145576,sale
جدة,المنارات,4378.771742988995,114,6631.02024848548,sale
جدة,النجمة,1333.6666666666665,28,1532.0885739415223,sale
جدة,النخيل,3866.444279713368,28,21297.90370577006,sale
جدة,النزهة,720.0,1530,10617.23073773243,sale
جدة,النسيم,4785.353535353535,64,18079.03142125472,sale
جدة,النعيم,4455.231930960086,1994,10583.352790489711,sale
جدة,النهضة,1665.079365079365,805,4549.808230124859,sale
جدة,النور,2167.0,70,3195.5744337649626,sale
جدة,الواحة,3944.055944055944,478,16887.30329220119,sale
جدة,الورود,4497.066942719117,78,7959.865228146564,sale
جدة,الوفاء,3064.516129032258,99,25722.000493914536,sale
جدة,الياقوت,5304.48717948718,176,7990.703255265031,sale
جدة,اليسر,1000.0,26,1252.8143964365615,sale
جدة,ام السلم,3138.0753138075315,75,28993.331638182277,sale
جدة,بريمان,3561.6438356164385,56,15132.352409809844,sale
جدة,بلدة ذهبان,1200.0,11,2167.9489039666973,sale
جدة,بنى مالك,4594.0495867768595,52,39442.96451183509,sale
جدة,جامعة الملك عبدالعزيز,4310.3448275862065,5,4300.589978182921,sale
جدة,حكومي,3302.777777777778,214,19327.840236785596,sale
جدة,طيبة,4518.219461697723,104,10843.72622024291,sale
جدة,قباء,3323.776158445441,32,8753.569601034891,sale
