city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
الرياض,المشرق,947.2222222222222,54,1173.7370639895425,sale
الرياض,المصانع,2500.0,19,2959.9720622940526,sale
الرياض,المصفاة,2000.0,64,2267.651794106731,sale
الرياض,المصيف,10674.157303370786,35,10922.714805003663,sale
الرياض,المعذر الشمالي,13928.57142857143,7,13697.240248756509,sale
الرياض,المعيزلة,5641.5810868635,102,5934.261559981719,sale
الرياض,المعيزيلة,5472.636815920398,161,5665.811785386091,sale
الرياض,المغرزات,11672.0,11,10596.938851465546,sale
الرياض,الملز,7000.0,65,8517.691115235628,sale
الرياض,الملقا,13012.343135522071,410,14329.515319878625,sale
الرياض,الملك سلمان,12274.992846924179,26,13568.340978475579,sale
الرياض,الملك عبدالله,10000.0,29,11182.645562697113,sale
الرياض,الملك فهد,9848.484848484848,41,10604.036018161041,sale
الرياض,الملك فيصل,7511.737089201878,141,8822.719178926,sale
الرياض,المناخ,1781.4102564102564,16,2192.8988782490324,sale
الرياض,المنار,6666.666666666667,44,6713.923308324447,sale
الرياض,المنصورة,4273.504273504273,10,4870.511719180431,sale
الرياض,المنصورية,1500.0,13,1555.7692307692307,sale
الرياض,المهدية,6210.422505969065,2056,6682.536852427244,sale
الرياض,المونسية,7859.389038634321,1322,8242.451675583992,sale
الرياض,الناصرية,11023.64938594925,8,10186.654851630257,sale
الرياض,النخبة,666.8333333333333,48,759.365156268846,sale
الرياض,النخيل,15156.547619047618,32,16233.871692645467,sale
الرياض,الندوة,5029.762959288524,204,7204.743169338402,sale
الرياض,الندى,10657.894736842105,62,11390.227841500593,sale
الرياض,النرجس,11607.142857142857,1140,11568.93131955995,sale
الرياض,النزهة,12500.0,13,12417.211540351158,sale
الرياض,النسيم الشرقي,5563.29309811204,66,5778.5417377863405,sale
الرياض,النسيم الغربي,3775.7437070938213,159,4297.988873057738,sale
الرياض,النظيم,2500.0,225,3037.2666844343025,sale
الرياض,النفل,10071.428571428572,54,9974.344182625324,sale
الرياض,النهضة,5867.34693877551,319,5934.1295672898195,sale
الرياض,النور,2803.114478114478,9,2957.0753688125146,sale
الرياض,الوادي,10000.0,53,10488.934179520982,sale
الرياض,الورود,10000.0,31,9902.03123269742,sale
الرياض,الوزارات,12376.237623762376,13,14709.620777102265,sale
الرياض,الوسام,2533.33,45,2573.9235002419136,sale
الرياض,الوشام,4222.222222222223,5,5370.43200983985,sale
الرياض,الياسمين,10483.870967741936,288,10539.498206096636,sale
الرياض,اليرموك,6914.893617021276,540,7031.218284265092,sale
الرياض,اليمامة,3297.4910394265235,33,4050.0525735505553,sale
الرياض,بدر,3223.1404958677685,1527,9416.6921031795,sale
الرياض,بنبان,4222.222222222223,5,4398.391812865497,sale
الرياض,ثليم,10465.116279069767,13,14181.11011334963,sale
الرياض,جرير,7795.086733210583,26,8166.795000500798,sale
الرياض,حطين,12500.0,143,13277.972050715665,sale
الرياض,حي البيان,5476.190476190476,124,5453.5569045462835,sale
الرياض,حي الملك عبدالعزيز,11204.481792717086,5,11134.70166827793,sale
الرياض,حي الندوة,5456.349206349207,30,5585.7696962850605,sale
الرياض,ديراب,3407.8189300411523,118,7638.107997312854,sale
الرياض,سدرة,9833.333333333334,127,10071.800829327407,sale
الرياض,سلطانة,4577.4647887323945,38,4762.718145886149,sale
الرياض,شبرا,1720.0,163,3729.69102053151,sale
الرياض,ضاحية نمار,2208.2653276955602,520,2957.515671778398,sale
الرياض,طويق,4481.132075471698,2152,5607.613167211377,sale
الرياض,طيبة,1900.0,62,4401.242455081213,sale
الرياض,ظهرة البديعة,3120.9126984126983,54,4350.780132442391,sale
الرياض,ظهرة لبن,5330.601092896175,790,6062.709841185982,sale
الرياض,عتيقة,4761.9047619047615,10,6135.445718968086,sale
الرياض,عرقة,12000.420560747663,88,12384.137971647835,sale
الرياض,عريض,1237.2294372294373,434,1684.9615879977719,sale
الرياض,عكاظ,3851.1326860841423,704,6833.462546550924,sale
الرياض,عليشة,6692.952437633288,8,7170.845010703748,sale
الرياض,غبيرا,5791.666666666666,10,5405.49779851326,sale
الرياض,غبيرة,3300.3845593590677,7,3804.740761938327,sale
الرياض,غرناطة,7579.813279362799,52,7005.671060768878,sale
الرياض,غير محدد,2574.297872340426,300,2747.184030972938,sale
الرياض,قرطبة,9068.627450980392,723,8653.059437556141,sale
الرياض,لبن,6275.0,50,7235.240413873237,sale
الرياض,مخطط الخير,2532.0612499999997,70,2747.6667312741947,sale
الرياض,مطار الملك خالد الدولي,8205.128205128205,49,9310.63277966811,sale
الرياض,مغرزات,11447.368421052632,9,12077.852147359872,sale
الرياض,منفوحة,6296.2962962962965,37,5627.243319517206,sale
الرياض,منفوحة الجديدة,6728.717430368373,30,6398.610304866489,sale
الرياض,نمار,3454.5454545454545,43,7028.967286382358,sale
الزلفى,الخالدية,1591.0903213863614,6,1603.049022052026,sale
الزلفى,السلام,628.930817610063,5,913.2789919786965,sale
الزلفى,العزيزية,902.1640176914806,6,4242.841419011017,sale
الزلفى,اليرموك,499.7810650887574,5,541.9069153197413,sale
الزلفى,عريعرة,1969.6969696969697,7,1654.791115655366,sale
الشنانه,النهضة,740.0,14,730.0298059964726,sale
الشنانه,غير محدد,500.0,9,693.0403101893389,sale
الطائف,الرحاب,2716.0493827160494,21,2512.3930978429426,sale
الطائف,السيل الكبير,2164.6933533796905,10,1957.8372670722893,sale
الطائف,الورود,1200.8325791855204,8,1212.5168542021197,sale
